sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
龍潭,桃園市,29,,良好,0.7,0.23,33.5,31.9,7,1,7.9,9.3,1.3,5.4,48,"2024-11-21 20:00",,0.2,2.5,7,0,121.21645772,24.86400048,21
平鎮,桃園市,23,,良好,1.1,0.37,29.1,24.7,5,8,14.5,15.7,1.2,3.3,68,"2024-11-21 20:00",,0.3,6,5,0,121.203986,24.952786,20
觀音,桃園市,33,,良好,0.5,0.16,36,36.3,12,4,6.1,6.7,0.6,7.1,77,"2024-11-21 20:00",,0.1,4.3,12,0,121.08283092,25.03556747,19
大園,桃園市,30,,良好,1.6,0.21,33.7,32.5,11,4,10.2,11.2,0.9,4.6,55,"2024-11-21 20:00",,0.2,4.8,10,1,121.20251473,25.06100357,18
桃園,桃園市,24,,良好,1.1,0.35,29.5,26.2,4,3,12.8,13.9,1,3,59,"2024-11-21 20:00",,0.3,3.1,6,0,121.30500531,24.9947107,17
大同,臺北市,55,二氧化氮,普通,1,1.02,7.8,8.7,8,8,36.7,80.3,43.6,-,-,"2024-11-21 20:00",,1,8.2,9,0,121.51342074,25.06331455,16
松山,臺北市,38,,良好,1.2,0.31,19.1,21.8,9,1,23,27.7,4.6,1.2,28,"2024-11-21 20:00",,0.2,3.2,10,0,121.578611,25.05,15
古亭,臺北市,25,,良好,0.2,0.29,31,27.5,5,3,12.4,13.7,1.3,,,"2024-11-21 20:00",,0.2,3.5,7,,121.529556,25.020608,14
萬華,臺北市,42,,良好,1.3,0.39,17,21.4,9,2,25.9,30.7,4.7,2.8,91,"2024-11-21 20:00",,0.3,3.4,8,0,121.507972,25.046503,13
中山,臺北市,38,,良好,0.9,0.47,19.3,21.0,3,6,23.5,28.1,4.6,2.4,81,"2024-11-21 20:00",,0.4,3.9,5,0,121.526528,25.062361,12
士林,臺北市,27,,良好,,,,29.6,6,4,,,,1.8,146,"2024-11-21 20:00",,0.2,3.7,5,0,121.51666356,25.10334003,11
淡水,新北市,33,,良好,1.1,0.23,36.4,36.2,3,2,4.6,5.6,0.9,1.7,20,"2024-11-21 20:00",,0.2,2.3,4,0,121.449239,25.1645,10
林口,新北市,25,,良好,0.4,0.29,23.2,26,3,2,15.1,17.5,2.4,1.7,70,"2024-11-21 20:00",,0.2,2.3,3,0,121.36548982,25.07798949,9
菜寮,新北市,27,,良好,0.4,0.38,29.3,27.1,3,3,16.3,17.4,1,2.6,100,"2024-11-21 20:00",,0.3,3.4,4,0,121.481028,25.06895,8
新莊,新北市,24,,良好,0.8,0.33,28.4,26.2,12,6,14.5,14.9,0.3,,,"2024-11-21 20:00",,0.3,5.6,13,0,121.4325,25.037972,7
板橋,新北市,27,,良好,0.5,0.36,30.2,28.4,3,3,16.9,18.7,1.8,2.7,111,"2024-11-21 20:00",,0.3,2.5,4,0,121.458667,25.012972,6
土城,新北市,28,,良好,1,0.44,27.1,30.6,10,0,17.7,18.3,0.5,0.7,217,"2024-11-21 20:00",,0.3,0.9,9,1,121.451861,24.982528,5
新店,新北市,27,,良好,0.4,0.39,21.6,26.7,5,8,16.5,17.5,1,0.8,76,"2024-11-21 20:00",,0.2,7.6,5,0,121.537778,24.977222,4
萬里,新北市,42,,良好,0.6,0.19,45.9,45.0,25,4,2.6,3.1,0.5,6.2,60,"2024-11-21 20:00",,0.1,3.3,24,0,121.689881,25.179667,3
汐止,新北市,28,,良好,0.7,0.24,30.3,30.9,11,7,14,15.6,1.5,1.8,36,"2024-11-21 20:00",,0.2,6.3,5,0,121.64081,25.06624,2
基隆,基隆市,37,,良好,0.6,0.21,41.6,40.9,10,3,3.8,4.6,0.7,,,"2024-11-21 20:00",,0.2,2.2,7,0,121.760056,25.129167,1
屏東(枋山),屏東縣,71,臭氧八小時,普通,0.1,0.13,40.5,61.2,11,4,2.2,2.5,0.3,3.9,91,"2024-11-21 20:00",,0.2,18.7,39,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,34,,良好,0.1,0.15,37.5,37.6,8,3,5.5,5.6,0.1,0.1,64,"2024-11-21 20:00",,0.1,2.9,7,0,121.82463916,24.85366672,312
新北(樹林),新北市,38,,良好,0.3,0.46,19.3,20.8,9,2,23,31.4,8.4,0.1,177,"2024-11-21 20:00",,0.3,2.4,8,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,78,細懸浮微粒,普通,1,0.43,34,59.5,75,32,16.3,16.8,0.5,2.6,322,"2024-11-21 20:00",,0.3,26.6,70,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,85,懸浮微粒,普通,1,0.3,19.8,34.6,37,10,13.9,14.8,0.9,2.8,4,"2024-11-21 20:00",,0.2,14.2,85,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,81,懸浮微粒,普通,1.3,0.26,22.9,41.5,70,9,14,14.9,0.9,1.2,42,"2024-11-21 20:00",,0.2,15.8,81,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,26,,良好,1.5,0.27,24.7,28.5,12,6,11.5,12.6,1,1.6,346,"2024-11-21 20:00",,0.2,4,16,1,120.56373,23.96117,201
大城,彰化縣,40,,良好,1,0.16,38.1,43.2,11,8,3,5.4,2.3,9.4,46,"2024-11-21 20:00",,0.1,8.5,15,0,120.26964167,23.85493056,85
富貴角,新北市,42,,良好,0,0.16,45.2,45.6,25,6,2,1.9,0,9.2,50,"2024-11-21 20:00",,0.1,4.9,26,0,121.53656894,25.29681695,84
麥寮,雲林縣,37,,良好,1.2,0.19,35.9,39.9,32,8,5.8,6.7,0.9,7,3,"2024-11-21 20:00",,0.1,9.1,37,2,120.251825,23.753506,83
關山,臺東縣,35,,良好,1,0.16,38.2,38.8,12,4,2.9,3.5,0.6,3.9,30,"2024-11-21 20:00",,0.1,3.6,15,0,121.161933,23.045083,80
馬公,澎湖縣,37,,良好,1.9,0.18,42.6,40.6,14,4,2,2.9,0.8,8.3,35,"2024-11-21 20:00",,0.1,4.5,14,1,119.566158,23.569031,78
金門,金門縣,29,,良好,1.1,0.27,29.9,31.7,15,8,8.3,8.8,0.5,3.2,32,"2024-11-21 20:00",,0.2,7.7,12,1,118.312256,24.432133,77
馬祖,連江縣,46,,良好,0.9,0.23,37.3,35.2,15,15,4.3,4.7,0.4,2.6,335,"2024-11-21 20:00",,0.2,14.2,19,0,119.952724,26.153736,75
埔里,南投縣,50,,良好,1.3,0.35,25.3,34.8,25,12,10.4,11.2,0.8,1.2,318,"2024-11-21 20:00",,0.2,15.3,21,1,120.967903,23.968842,72
復興,高雄市,91,細懸浮微粒,普通,1.2,0.59,19.7,46.8,111,22,26.2,29.1,2.9,1.5,297,"2024-11-21 20:00",,0.5,31.8,79,1,120.312017,22.608711,71
永和,新北市,26,,良好,1,0.38,31.6,28.8,5,3,11,14.4,3.3,1.8,79,"2024-11-21 20:00",,0.3,3.6,7,0,121.516306,25.017,70
竹山,南投縣,39,,良好,1.1,0.25,18,33.6,17,7,14.6,15.1,0.4,1.9,34,"2024-11-21 20:00",,0.2,12,24,1,120.677306,23.756389,69
中壢,桃園市,37,,良好,1.1,0.61,18.6,15.1,9,10,22.5,36.5,14,0.9,337,"2024-11-21 20:00",,0.6,8,11,0,121.221667,24.953278,68
三重,新北市,52,二氧化氮,普通,0.6,0.91,9.8,8.1,9,6,32.4,68.7,36.3,-,-,"2024-11-21 20:00",,0.9,6.5,10,0,121.493806,25.072611,67
冬山,宜蘭縣,31,,良好,0.8,0.18,37.7,33.8,13,3,4.3,4.6,0.2,0.2,244,"2024-11-21 20:00",,0.1,2.5,5,0,121.792928,24.632203,66
宜蘭,宜蘭縣,31,,良好,0.4,0.26,30.3,34.1,6,3,7.8,8.8,1,1,296,"2024-11-21 20:00",,0.2,2.3,6,0,121.746394,24.747917,65
陽明,臺北市,39,,良好,0.7,0.19,43.1,42.4,0,2,1,1.5,0.4,,,"2024-11-21 20:00",,0.1,0.9,2,0,121.529583,25.182722,64
花蓮,花蓮縣,36,,良好,1.8,0.23,39.9,39.6,,7,3.5,3.9,0.4,2.5,77,"2024-11-21 20:00",,0.2,6.3,,1,121.599769,23.971306,63
臺東,臺東縣,38,,良好,1.4,0.2,36.9,41.8,18,4,3,3.7,0.7,1.1,302,"2024-11-21 20:00",,0.1,4.1,21,1,121.15045,22.755358,62
恆春,屏東縣,41,,良好,1.2,0.13,44.2,44.9,18,4,1.3,1.7,0.4,12.4,32,"2024-11-21 20:00",,0.1,4.5,12,0,120.788928,21.958069,61
潮州,屏東縣,154,臭氧八小時,對所有族群不健康,1.4,0.42,50.5,87.6,61,36,5.8,6.3,0.5,0.3,350,"2024-11-21 20:00",,0.5,46.5,71,1,120.561175,22.523108,60
屏東,屏東縣,73,細懸浮微粒,普通,1.1,0.39,32.1,54.4,68,19,12.4,13.3,0.8,1.5,306,"2024-11-21 20:00",,0.3,24.5,54,0,120.488033,22.673081,59
小港,高雄市,78,細懸浮微粒,普通,2.5,0.48,18.2,46.9,104,21,30.3,31.4,1,1.8,338,"2024-11-21 20:00",,0.4,26.3,74,2,120.337736,22.565833,58
前鎮,高雄市,90,懸浮微粒,普通,1.2,0.53,21.9,51.4,130,24,22,25.3,3.2,2.7,18,"2024-11-21 20:00",,0.4,30.1,90,1,120.30833356,22.6044507,57
前金,高雄市,99,懸浮微粒,普通,2.8,0.41,21.2,,145,24,20.2,21.2,0.9,4.2,351,"2024-11-21 20:00",,0.3,26.9,99,1,120.28676111,22.63390278,56
左營,高雄市,96,懸浮微粒,普通,1.8,0.41,22.4,50.9,139,20,19.8,20.7,0.9,3,2,"2024-11-21 20:00",,0.3,25.5,96,1,120.292917,22.674861,54
楠梓,高雄市,79,懸浮微粒,普通,2,0.33,24.1,50.0,76,16,18,18.5,0.5,1.6,27,"2024-11-21 20:00",,0.3,23,79,1,120.328289,22.733667,53
林園,高雄市,104,細懸浮微粒,對敏感族群不健康,2.6,0.49,27.7,58.0,78,32,23.4,23.8,0.4,2.8,308,"2024-11-21 20:00",,0.4,36.7,75,3,120.41175,22.4795,52
大寮,高雄市,93,細懸浮微粒,普通,1.8,0.36,24.8,58.7,53,24,20.1,20.7,0.6,2.1,341,"2024-11-21 20:00",,0.3,32.6,44,2,120.425311,22.56413611,51
鳳山,高雄市,88,細懸浮微粒,普通,2.4,0.71,18.1,48.8,120,28,25.3,29,3.7,0.9,273,"2024-11-21 20:00",,0.6,30.7,76,2,120.357422,22.628126,50
仁武,高雄市,81,細懸浮微粒,普通,1.1,0.34,22.7,49.7,78,21,19.7,20.5,0.8,2.8,338,"2024-11-21 20:00",,0.3,27.5,70,1,120.332631,22.689056,49
橋頭,高雄市,90,懸浮微粒,普通,1.7,0.31,21.1,46.1,95,18,20.7,21.4,0.6,3.3,19,"2024-11-21 20:00",,0.3,24.5,90,1,120.305689,22.757506,48
美濃,高雄市,57,細懸浮微粒,普通,1.9,0.26,34.1,49.0,61,13,8,8.8,0.8,0.9,257,"2024-11-21 20:00",,0.2,17.8,45,1,120.530542,22.883583,47
臺南,臺南市,95,懸浮微粒,普通,1.2,0.28,23.6,43.2,37,13,14.2,15.8,1.5,3.4,13,"2024-11-21 20:00",,0.2,16.5,95,1,120.21947897,22.98928311,46
安南,臺南市,94,懸浮微粒,普通,1.3,0.29,23.2,42.2,34,13,12.5,12.7,0.1,2.1,316,"2024-11-21 20:00",,0.2,17.6,94,1,120.2175,23.048197,45
善化,臺南市,74,懸浮微粒,普通,1.5,0.21,23.5,41.0,37,10,11.7,12.5,0.8,4.5,1,"2024-11-21 20:00",,0.2,16.1,74,1,120.29740529,23.11337642,44
新營,臺南市,75,懸浮微粒,普通,1.6,0.29,21.3,33.8,39,11,13.3,15.6,2.2,2.9,19,"2024-11-21 20:00",,0.2,14.5,75,1,120.31725,23.305633,43
嘉義,嘉義市,45,,良好,3,0.31,20.8,35.0,19,12,13.4,14.5,1,2.7,5,"2024-11-21 20:00",,0.2,13.8,36,2,120.44125148,23.46477865,42
臺西,雲林縣,37,,良好,0.6,0.19,36.2,40.7,21,3,4.3,4.3,0,9.8,25,"2024-11-21 20:00",,0.1,6,26,0,120.19933333,23.702175,41
朴子,嘉義縣,73,懸浮微粒,普通,3.6,0.3,23.8,36,37,7,12.3,13.3,0.9,2.1,355,"2024-11-21 20:00",,0.2,8.5,73,1,120.2478,23.46538,40
新港,嘉義縣,63,懸浮微粒,普通,2,0.23,25.5,37.5,42,8,11.4,11.7,0.3,2.9,1,"2024-11-21 20:00",,0.2,11,63,1,120.345531,23.554839,39
崙背,雲林縣,105,懸浮微粒,對敏感族群不健康,1,0.3,27,32.8,116,8,9.6,10.4,0.7,2.8,7,"2024-11-21 20:00",,0.2,13.6,113,0,120.348742,23.757547,38
斗六,雲林縣,36,,良好,1.4,0.27,21.8,36.1,17,10,11.9,13.2,1.3,1.9,353,"2024-11-21 20:00",,0.2,11.1,26,1,120.544994,23.711853,37
南投,南投縣,27,,良好,1.6,0.29,21.1,29.2,11,3,14,14.8,0.7,1.9,352,"2024-11-21 20:00",,0.2,5.8,19,1,120.685306,23.913,36
二林,彰化縣,20,,良好,1.6,0.22,0,,13,5,10.1,10.8,0.7,5.4,27,"2024-11-21 20:00",,0.2,6.1,17,1,120.409653,23.925175,35
線西,彰化縣,31,,良好,1.1,0.21,31.7,34.7,10,3,9.5,10.3,0.8,7.2,35,"2024-11-21 20:00",,0.2,4,15,1,120.469061,24.131672,34
彰化,彰化縣,26,,良好,0.7,0.27,25.2,28.5,6,4,13,15,2,3.2,14,"2024-11-21 20:00",,0.2,5,11,0,120.541519,24.066,33
西屯,臺中市,28,,良好,1.3,0.21,29.4,30.9,5,5,7.8,8.8,0.9,4.2,5,"2024-11-21 20:00",,0.1,4.8,12,1,120.616917,24.162197,32
忠明,臺中市,24,,良好,1.5,0.28,25.1,26.8,7,2,11.5,13.2,1.6,2,325,"2024-11-21 20:00",,0.2,4.1,11,1,120.641092,24.151958,31
大里,臺中市,23,,良好,1.2,0.3,23,26.0,9,4,11.2,12.6,1.3,2.8,13,"2024-11-21 20:00",,0.2,5.3,11,1,120.67844444,24.09961111,30
沙鹿,臺中市,30,,良好,1.2,0.23,30,33.0,9,6,8.1,9.2,1,4.4,32,"2024-11-21 20:00",,0.2,4.7,10,1,120.568794,24.225628,29
豐原,臺中市,26,,良好,1,0.25,27.3,28.6,5,2,6.1,7.1,1,1.9,12,"2024-11-21 20:00",,0.2,1.6,6,1,120.74252414,24.25699731,28
三義,苗栗縣,28,,良好,0.8,0.19,33.1,30.6,3,3,3.8,4.5,0.7,6.5,14,"2024-11-21 20:00",,0.1,3.5,2,0,120.75956754,24.38248443,27
苗栗,苗栗縣,27,,良好,1.3,0.26,27.5,29.7,3,7,10.5,11.8,1.3,4.1,10,"2024-11-21 20:00",,0.2,5.5,5,1,120.82011468,24.56499183,26
頭份,苗栗縣,28,,良好,1.2,0.27,31.1,30.7,6,6,10.7,12.2,1.5,3.5,33,"2024-11-21 20:00",,0.2,6.1,8,1,120.89869286,24.69690679,25
新竹,新竹市,29,,良好,1.1,0.28,30.1,31.7,4,3,11.5,12.3,0.7,3.5,35,"2024-11-21 20:00",,0.2,2.5,6,1,120.97236752,24.8056356,24
竹東,新竹縣,34,,良好,0.6,0.18,37.9,37.9,0,0,4,4.6,0.6,3.5,37,"2024-11-21 20:00",,0.1,1.6,1,0,121.08895493,24.74091408,23
湖口,新竹縣,31,,良好,0.8,0.2,36,34.3,4,4,5.2,6.4,1.1,6.6,48,"2024-11-21 20:00",,0.1,3.3,6,1,121.03886894,24.90009696,22
龍潭,桃園市,29,,良好,0.7,0.23,33.5,31.9,7,1,7.9,9.3,1.3,5.4,48,"2024-11-21 20:00",,0.2,2.5,7,0,121.21645772,24.86400048,21
平鎮,桃園市,23,,良好,1.1,0.37,29.1,24.7,5,8,14.5,15.7,1.2,3.3,68,"2024-11-21 20:00",,0.3,6,5,0,121.203986,24.952786,20
觀音,桃園市,33,,良好,0.5,0.16,36,36.3,12,4,6.1,6.7,0.6,7.1,77,"2024-11-21 20:00",,0.1,4.3,12,0,121.08283092,25.03556747,19
大園,桃園市,30,,良好,1.6,0.21,33.7,32.5,11,4,10.2,11.2,0.9,4.6,55,"2024-11-21 20:00",,0.2,4.8,10,1,121.20251473,25.06100357,18
桃園,桃園市,24,,良好,1.1,0.35,29.5,26.2,4,3,12.8,13.9,1,3,59,"2024-11-21 20:00",,0.3,3.1,6,0,121.30500531,24.9947107,17
大同,臺北市,55,二氧化氮,普通,1,1.02,7.8,8.7,8,8,36.7,80.3,43.6,-,-,"2024-11-21 20:00",,1,8.2,9,0,121.51342074,25.06331455,16
松山,臺北市,38,,良好,1.2,0.31,19.1,21.8,9,1,23,27.7,4.6,1.2,28,"2024-11-21 20:00",,0.2,3.2,10,0,121.578611,25.05,15
古亭,臺北市,25,,良好,0.2,0.29,31,27.5,5,3,12.4,13.7,1.3,,,"2024-11-21 20:00",,0.2,3.5,7,,121.529556,25.020608,14
萬華,臺北市,42,,良好,1.3,0.39,17,21.4,9,2,25.9,30.7,4.7,2.8,91,"2024-11-21 20:00",,0.3,3.4,8,0,121.507972,25.046503,13
中山,臺北市,38,,良好,0.9,0.47,19.3,21.0,3,6,23.5,28.1,4.6,2.4,81,"2024-11-21 20:00",,0.4,3.9,5,0,121.526528,25.062361,12
士林,臺北市,27,,良好,,,,29.6,6,4,,,,1.8,146,"2024-11-21 20:00",,0.2,3.7,5,0,121.51666356,25.10334003,11
淡水,新北市,33,,良好,1.1,0.23,36.4,36.2,3,2,4.6,5.6,0.9,,,"2024-11-21 20:00",,0.2,2.3,4,0,121.449239,25.1645,10
林口,新北市,25,,良好,0.4,0.29,23.2,26,3,2,15.1,17.5,2.4,1.7,70,"2024-11-21 20:00",,0.2,2.3,3,0,121.36548982,25.07798949,9
菜寮,新北市,27,,良好,0.4,0.38,29.3,27.1,3,3,16.3,17.4,1,2.6,100,"2024-11-21 20:00",,0.3,3.4,4,0,121.481028,25.06895,8
新莊,新北市,24,,良好,0.8,0.33,28.4,26.2,12,6,14.5,14.9,0.3,,,"2024-11-21 20:00",,0.3,5.6,13,0,121.4325,25.037972,7
板橋,新北市,27,,良好,0.5,0.36,30.2,28.4,3,3,16.9,18.7,1.8,2.7,111,"2024-11-21 20:00",,0.3,2.5,4,0,121.458667,25.012972,6
土城,新北市,28,,良好,1,0.44,27.1,30.6,10,0,17.7,18.3,0.5,0.7,217,"2024-11-21 20:00",,0.3,0.9,9,1,121.451861,24.982528,5
新店,新北市,27,,良好,0.4,0.39,21.6,26.7,5,8,16.5,17.5,1,0.8,76,"2024-11-21 20:00",,0.2,7.6,5,0,121.537778,24.977222,4
萬里,新北市,42,,良好,0.6,0.19,45.9,45.0,25,4,2.6,3.1,0.5,6.2,60,"2024-11-21 20:00",,0.1,3.3,24,0,121.689881,25.179667,3
汐止,新北市,28,,良好,0.7,0.24,30.3,30.9,11,7,14,15.6,1.5,1.8,36,"2024-11-21 20:00",,0.2,6.3,5,0,121.64081,25.06624,2
基隆,基隆市,37,,良好,0.6,0.21,41.6,40.9,10,3,3.8,4.6,0.7,,,"2024-11-21 20:00",,0.2,2.2,7,0,121.760056,25.129167,1
屏東(枋山),屏東縣,80,臭氧八小時,普通,0.1,0.13,39.4,64.0,15,5,2.7,3.1,0.3,3.1,90,"2024-11-21 19:00",,0.2,22.2,45,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,34,,良好,0.1,0.15,35.9,37.7,10,2,6.6,6.8,0.2,0.9,57,"2024-11-21 19:00",,0.1,2.7,6,0,121.82463916,24.85366672,312
新北(樹林),新北市,43,,良好,0.5,0.52,17.2,21.3,10,1,26.5,39,12.4,0,155,"2024-11-21 19:00",,0.3,2.5,8,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,76,細懸浮微粒,普通,0.8,0.33,46.9,59.0,82,27,12.9,13.5,0.5,2,324,"2024-11-21 19:00",,0.3,25.8,68,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,92,懸浮微粒,普通,0.7,0.26,25.1,37.4,80,11,11.6,12.5,0.8,2.9,5,"2024-11-21 19:00",,0.2,14.4,92,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,80,懸浮微粒,普通,1.6,0.32,26.1,44.1,134,17,18.6,19.7,1.1,1.4,307,"2024-11-21 19:00",,0.2,17,80,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,28,,良好,1.5,0.31,22.8,30.1,14,6,13.4,14.7,1.3,1.3,359,"2024-11-21 19:00",,0.2,3.6,17,1,120.56373,23.96117,201
大城,彰化縣,41,,良好,0.9,0.14,38,44.3,15,10,3.5,5.6,2.1,9.1,45,"2024-11-21 19:00",,0.1,8.1,17,0,120.26964167,23.85493056,85
富貴角,新北市,42,,良好,0,0.16,45.8,45.7,31,5,1.6,1.5,0,8.6,54,"2024-11-21 19:00",,0.1,4.8,26,0,121.53656894,25.29681695,84
麥寮,雲林縣,44,,良好,1.4,0.19,35.7,41.1,34,7,7.1,8,0.8,7.5,359,"2024-11-21 19:00",,0.1,10.6,44,2,120.251825,23.753506,83
關山,臺東縣,35,,良好,0.8,0.16,38.3,38.9,11,6,3.4,4.1,0.7,4.2,33,"2024-11-21 19:00",,0.1,3.1,16,0,121.161933,23.045083,80
馬公,澎湖縣,37,,良好,1.8,0.18,41.9,40.6,14,4,2.7,3.6,0.9,7.7,34,"2024-11-21 19:00",,0.1,4.7,15,1,119.566158,23.569031,78
金門,金門縣,28,,良好,1.1,0.27,29.9,30.4,16,15,9.7,10.2,0.5,2,44,"2024-11-21 19:00",,0.2,7.3,12,1,118.312256,24.432133,77
馬祖,連江縣,46,,良好,0.8,0.23,37.9,34.2,23,15,5.3,5.8,0.5,2.5,336,"2024-11-21 19:00",,0.2,14.2,20,0,119.952724,26.153736,75
埔里,南投縣,49,,良好,1.3,0.34,28.1,36.2,28,18,11.8,12.6,0.8,1.1,289,"2024-11-21 19:00",,0.2,15.1,20,1,120.967903,23.968842,72
復興,高雄市,96,細懸浮微粒,普通,1.2,0.82,21.6,50.5,87,28,30.1,36.4,6.3,1.2,112,"2024-11-21 19:00",,0.5,33.7,72,1,120.312017,22.608711,71
永和,新北市,26,,良好,1.4,0.46,29.1,28.6,8,4,14.4,18.3,3.9,1.8,81,"2024-11-21 19:00",,0.3,3.5,7,1,121.516306,25.017,70
竹山,南投縣,41,,良好,1.1,0.26,18.2,35.5,26,18,16.3,16.7,0.4,3.3,25,"2024-11-21 19:00",,0.2,12.5,25,1,120.677306,23.756389,69
中壢,桃園市,45,,良好,1,0.87,14.2,14.8,10,7,27.1,47.5,20.3,1.2,9,"2024-11-21 19:00",,0.5,8.1,12,0,121.221667,24.953278,68
三重,新北市,54,二氧化氮,普通,0.5,1.13,9.7,8.0,10,6,35.1,72.2,37.1,-,-,"2024-11-21 19:00",,0.9,6.7,10,0,121.493806,25.072611,67
冬山,宜蘭縣,31,,良好,0.9,0.21,35.7,33.3,5,3,8.2,9,0.8,0.9,198,"2024-11-21 19:00",,0.1,2.5,4,0,121.792928,24.632203,66
宜蘭,宜蘭縣,31,,良好,0.4,0.33,31.1,34.6,9,2,10.2,11.3,1.1,0.3,339,"2024-11-21 19:00",,0.2,2.2,5,0,121.746394,24.747917,65
陽明,臺北市,39,,良好,0.7,0.19,42.3,42.1,2,3,1.1,1.3,0.2,2.2,340,"2024-11-21 19:00",,0.1,0.6,3,0,121.529583,25.182722,64
花蓮,花蓮縣,36,,良好,1.7,0.23,39.2,39.9,,8,4.5,5.1,0.6,3.8,67,"2024-11-21 19:00",,0.2,6.3,,1,121.599769,23.971306,63
臺東,臺東縣,39,,良好,1.4,0.17,40.6,42.4,20,6,2.5,3.4,0.8,2.1,327,"2024-11-21 19:00",,0.1,4.1,22,1,121.15045,22.755358,62
恆春,屏東縣,41,,良好,1,0.13,44.4,44.8,14,6,1.4,1.8,0.3,11.4,35,"2024-11-21 19:00",,0.1,4.8,11,0,120.788928,21.958069,61
潮州,屏東縣,164,臭氧八小時,對所有族群不健康,1.9,0.45,61.7,91.6,76,45,8.1,8.9,0.7,1.2,58,"2024-11-21 19:00",,0.5,49.7,75,1,120.561175,22.523108,60
屏東,屏東縣,75,細懸浮微粒,普通,1,0.36,44.4,57.0,55,24,11.7,12.6,0.9,0.9,335,"2024-11-21 19:00",,0.3,25.3,49,0,120.488033,22.673081,59
小港,高雄市,81,細懸浮微粒,普通,2.2,0.5,20.6,49.2,80,24,31.5,32.3,0.8,1.2,349,"2024-11-21 19:00",,0.4,27.7,66,2,120.337736,22.565833,58
前鎮,高雄市,89,細懸浮微粒,普通,1.3,0.66,,55.3,96,26,25.8,29.8,4,2.2,14,"2024-11-21 19:00",,0.4,31,79,1,120.30833356,22.6044507,57
前金,高雄市,89,懸浮微粒,普通,2.7,0.44,,,115,23,20.1,20.9,0.8,3.8,356,"2024-11-21 19:00",,0.3,26.9,89,1,120.28676111,22.63390278,56
左營,高雄市,82,懸浮微粒,普通,1.9,0.42,30.5,54.1,141,27,17.5,18.4,0.9,2.7,358,"2024-11-21 19:00",,0.3,26.7,82,1,120.292917,22.674861,54
楠梓,高雄市,75,懸浮微粒,普通,2.1,0.35,30.8,53.4,123,19,17.4,18.1,0.7,1.6,12,"2024-11-21 19:00",,0.3,24.7,75,1,120.328289,22.733667,53
林園,高雄市,103,細懸浮微粒,對敏感族群不健康,2.6,0.42,36.6,60.6,75,37,19.5,19.9,0.3,2.3,318,"2024-11-21 19:00",,0.5,36.3,72,3,120.41175,22.4795,52
大寮,高雄市,98,細懸浮微粒,普通,1.8,0.36,34.8,62.6,39,26,17.1,17.6,0.4,1.8,344,"2024-11-21 19:00",,0.4,34.5,41,2,120.425311,22.56413611,51
鳳山,高雄市,90,細懸浮微粒,普通,1.9,0.58,28.7,52.6,86,26,19.5,22.4,2.8,0.4,148,"2024-11-21 19:00",,0.6,31.2,65,2,120.357422,22.628126,50
仁武,高雄市,84,細懸浮微粒,普通,1.2,0.39,26.4,53.4,96,28,22.8,23.5,0.7,2.4,337,"2024-11-21 19:00",,0.3,28.7,64,1,120.332631,22.689056,49
橋頭,高雄市,83,懸浮微粒,普通,1.8,0.33,27.9,49.4,147,25,19.3,19.7,0.4,2.6,14,"2024-11-21 19:00",,0.3,26.1,83,1,120.305689,22.757506,48
美濃,高雄市,59,細懸浮微粒,普通,1.9,0.29,38.6,49.3,54,22,9.3,10.2,0.9,1,275,"2024-11-21 19:00",,0.2,18.6,41,1,120.530542,22.883583,47
臺南,臺南市,99,懸浮微粒,普通,1.2,0.32,27.7,45.7,170,20,15.6,16.8,1.2,3.3,6,"2024-11-21 19:00",,0.2,16.5,99,1,120.21947897,22.98928311,46
安南,臺南市,101,懸浮微粒,對敏感族群不健康,1.1,0.27,28.1,44.6,128,15,11.7,12.2,0.5,2.9,325,"2024-11-21 19:00",,0.2,17.7,101,1,120.2175,23.048197,45
善化,臺南市,80,懸浮微粒,普通,1.4,0.22,26.5,43.0,50,13,12.3,13.1,0.7,3.5,0,"2024-11-21 19:00",,0.2,17,80,1,120.29740529,23.11337642,44
新營,臺南市,83,懸浮微粒,普通,1.2,0.26,22.9,37.1,38,9,13.6,15.6,1.9,3,13,"2024-11-21 19:00",,0.2,15.6,83,1,120.31725,23.305633,43
嘉義,嘉義市,47,,良好,2.2,0.34,18.7,36.8,18,12,17.9,19.4,1.5,3.6,8,"2024-11-21 19:00",,0.2,14.5,44,2,120.44125148,23.46477865,42
臺西,雲林縣,38,,良好,0.7,0.18,36,41.8,20,5,5.5,5.6,0,9.3,22,"2024-11-21 19:00",,0.1,6.2,28,0,120.19933333,23.702175,41
